procedure_id,mouse_id,procedure_type,procedure_date,series_id,session_no,operator,anesthesia,anesthesia_route,analgesia,analgesia_route,construct/dye,injection_route,site1_hemi,site1_region,site1_ap,site1_ml,site1_dv,outcome,notebook_scan,notes,days_since
pr-ts145-01,ts145,CSF_collection,2024-11-15,,,ts,,,,,,,,,,,,,,CSF Collection,589
pr-ts146-01,ts146,CSF_collection,2024-11-21,,,ts,,,,,,,,,,,,,,CSF Collection,583
pr-ts147-01,ts147,CSF_collection,2024-11-29,,,ts,,,,,,,,,,,,,,CSF Collection,575
pr-ts148-01,ts148,CSF_collection,2024-11-29,,,ts,,,,,,,,,,,,,,CSF Collection,575
pr-ts149-01,ts149,CSF_collection,2024-12-02,,,ts,,,,,,,,,,,,,,CSF Collection,572
pr-ts150-01,ts150,CSF_collection,2024-12-03,,,ts,,,,,,,,,,,,,,CSF Collection,571
pr-ts151-01,ts151,CSF_collection,2024-12-03,,,ts,,,,,,,,,,,,,,CSF Collection,571
pr-ts152-01,ts152,CSF_collection,2024-12-04,,,ts,,,,,,,,,,,,,,CSF Collection,570
pr-ts153-01,ts153,CSF_collection,2024-12-09,,,ts,,,,,,,,,,,,,,CSF Collection,565
pr-ts154-01,ts154,CSF_collection,2024-12-09,,,ts,,,,,,,,,,,,,,CSF Collection,565
pr-ts155-01,ts155,CSF_collection,2024-12-10,,,ts,,,,,,,,,,,,,,CSF Collection,564
pr-ts156-01,ts156,CSF_collection,2024-12-11,,,ts,,,,,,,,,,,,,,CSF Collection,563
pr-ts157-01,ts157,CSF_collection,2024-12-12,,,ts,,,,,,,,,,,,,,CSF Collection,562
pr-ts158-01,ts158,CSF_collection,2024-12-12,,,ts,,,,,,,,,,,,,,CSF Collection,562
pr-ts159-01,ts159,CSF_collection,2024-12-13,,,ts,,,,,,,,,,,,,,CSF Collection,561
pr-ts160-01,ts160,CSF_collection,2024-12-13,,,ts,,,,,,,,,,,,,,CSF Collection,561
pr-ts161-01,ts161,perfusion_fix,2024-12-26,,,ts,,,,,,,,,,,,,,Fix,548
pr-ts162-01,ts162,perfusion_fix,2025-01-07,,,ts,,,,,,,,,,,,,,Fix,536
pr-ts163-01,ts163,perfusion_fix,2025-01-07,,,ts,,,,,,,,,,,,,,Fix,536
pr-ts164-01,ts164,tissue_clearing,2025-01-10,,,ts,,,,,,,,,,,,,,Tissue clearing,533
pr-ts165-01,ts165,viral_injection,2025-01-14,,,ts,,,,,hsyn-EGFP,,,,,,,,,AAV injection,529
pr-ts165-02,ts165,cranial_window,2025-02-05,,,ts,,,,,,,,,,,,,,チャンバーづけ,507
pr-ts166-01,ts166,femoral_catheter,2025-01-15,,,ts,,,,,,,,,,,,,,Femoral vein cathter,528
pr-ts167-01,ts167,femoral_catheter,2025-01-17,,,ts,,,,,,,,,,,,,,Femoral vein cathter,526
pr-ts168-01,ts168,femoral_catheter,2025-01-20,,,ts,,,,,,,,,,,,,,Femoral vein cathter,523
pr-ts168-02,ts168,cranial_window,2025-01-20,,,ts,,,,,,,,,,,,,,チャンバーづけ,523
pr-ts169-01,ts169,other,2025-01-23,,,ts,,,,,,,,,,,,,,DB53 test,520
pr-ts170-01,ts170,PoRTs_window,2025-01-27,,,ts,,,,,,,,,,,,,,PoRTs window,516
pr-ts171-01,ts171,other,2025-01-27,,,ts,,,,,,,,,,,,,,KX test,516
pr-ts172-01,ts172,other,2025-01-27,,,ts,,,,,,,,,,,,,,KX test,516
pr-ts173-01,ts173,PoRTs_window,2025-01-28,,,ts,,,,,,,,,,,,,,PoRTs window,515
pr-ts186-01,ts186,PoRTs_window,2025-02-05,,,ts,,,,,,,,,,,,,,PoRTs window,507
pr-ts187-01,ts187,PoRTs_window,2025-02-06,,,ts,,,,,,,,,,,,,,PoRTs window,506
pr-ts188-01,ts188,PoRTs_window,2025-02-13,,,ts,,,,,,,,,,,,,,PoRTs window,499
pr-ts190-01,ts190,other,2025-02-17,,,ts,,,,,,,,,,,,,,Injection,495
pr-ts191-01,ts191,other,2025-02-17,,,ts,,,,,,,,,,,,,,Injection,495
pr-ts192-01,ts192,other,2025-02-17,,,ts,,,,,,,,,,,,,,Injection,495
pr-ts193-01,ts193,other,2025-02-20,,,ts,,,,,,,,,,,,,,Injection,492
pr-ts194-01,ts194,other,2025-02-20,,,ts,,,,,,,,,,,,,,Injection,492
pr-ts195-01,ts195,other,2025-02-27,,,ts,,,,,,,,,,,,,,Injection,485
pr-ts196-01,ts196,other,2025-02-27,,,ts,,,,,,,,,,,,,,Injection,485
pr-ts197-01,ts197,other,2025-02-28,,,ts,,,,,,,,,,,,,,Injection,484
pr-ts198-01,ts198,other,2025-02-28,,,ts,,,,,,,,,,,,,,Injection,484
pr-ts199-01,ts199,other,2025-03-03,,,ts,,,,,,,,,,,,,,Injection,481
pr-ts200-01,ts200,other,2025-03-05,,,ts,,,,,,,,,,,,,,Injection,479
pr-ts201-01,ts201,other,2025-03-07,,,ts,,,,,,,,,,,,,,Injection,477
pr-ts202-01,ts202,other,2025-03-07,,,ts,,,,,,,,,,,,,,Injection,477
pr-ts203-01,ts203,other,2025-03-09,,,ts,,,,,,,,,,,,,,Injection,475
pr-ts204-01,ts204,other,2025-03-10,,,ts,,,,,,,,,,,,,,Injection,474
pr-ts205-01,ts205,other,2025-03-12,,,ts,,,,,,,,,,,,,,Injection,472
pr-ts206-01,ts206,other,2025-03-12,,,ts,,,,,,,,,,,,,,Injection,472
pr-ts207-01,ts207,other,2025-03-12,,,ts,,,,,,,,,,,,,,Injection,472
pr-ts208-01,ts208,other,2025-03-12,,,ts,,,,,,,,,,,,,,Injection,472
pr-ts209-01,ts209,other,2025-03-13,,,ts,,,,,,,,,,,,,,Injection,471
pr-ts210-01,ts210,PoRTs_window,2025-04-04,,,ts,,,,,,,,,,,,,,PoRTs window,449
pr-ts211-01,ts211,PoRTs_window,2025-04-07,,,ts,,,,,,,,,,,,,,PoRTs window,446
pr-ts212-01,ts212,PoRTs_window,2025-04-08,,,ts,,,,,,,,,,,,,,PoRTs window,445
